Congruent,Incongruent,,X-(X_Mean),(X-(X_Mean))^2,,Y-(Y_Mean),(Y-(Y_Mean))^2
12.079,19.278,,-1.972125,3.889277016,,-2.737916667,7.496187674
16.791,18.741,,2.739875,7.506915016,,-3.274916667,10.72507917
9.564,21.214,,-4.487125,20.13429077,,-0.801916667,0.64307034
8.63,15.687,,-5.421125,29.38859627,,-6.328916667,40.05518617
14.669,22.803,,0.617875,0.381769516,,0.787083333,0.619500174
12.238,20.878,,-1.813125,3.287422266,,-1.137916667,1.29485434
14.692,24.572,,0.640875,0.410720766,,2.556083333,6.533562007
8.987,17.394,,-5.064125,25.64536202,,-4.621916667,21.36211367
9.401,20.762,,-4.650125,21.62366252,,-1.253916667,1.572307007
14.48,26.282,,0.428875,0.183933766,,4.266083333,18.19946701
22.328,24.524,,8.276875,68.50665977,,2.508083333,6.290482007
15.298,18.644,,1.246875,1.554697266,,-3.371916667,11.36982201
15.073,17.51,,1.021875,1.044228516,,-4.505916667,20.30328501
16.929,20.33,,2.877875,8.282164516,,-1.685916667,2.842315007
18.2,35.255,,4.148875,17.21316377,,13.23908333,175.2733275
12.13,22.158,,-1.921125,3.690721266,,0.142083333,0.020187674
18.495,25.139,,4.443875,19.74802502,,3.123083333,9.753649507
10.639,20.429,,-3.412125,11.64259702,,-1.586916667,2.518304507
11.344,17.425,,-2.707125,7.328525766,,-4.590916667,21.07651584
12.369,34.288,,-1.682125,2.829544516,,12.27208333,150.6040293
12.944,23.894,,-1.107125,1.225725766,,1.878083333,3.527197007
14.233,17.96,,0.181875,0.033078516,,-4.055916667,16.45046001
19.71,22.058,,5.658875,32.02286627,,0.042083333,0.001771007
16.004,21.157,,1.952875,3.813720766,,-0.858916667,0.73773784
X_Total,Y_Total,,,,,,
337.227,528.382,,-1.42109E-14,291.3876686,,-7.10543E-14,529.2704118
X_Mean,Y_Mean,,,,,,
14.051125,22.01591667,,-34.237375,,,-40.81383333,
,,,34.237375,,,40.81383333,